srcclass	src	home	target	pos	context
LIVE-B	B31	INTENT.md:1025	5.3	5995	-produced, keyed (key,reason) on the section object, placed ABOVE the datum, `#!sc:`-marked so a rewrite REPLACES rather than accumulates (T9 green; the naive annotator fails it by +3 lines/rewrite). §5.3's parser precondition RE-MEASURED: already met for every writable file (composed loads go through the format parser; legacy is read-only under D35). The 18 machine-owned twins are byte-identical to t
LIVE-B	B31	INTENT.md:1025	5.32	8479	 px with 1 surviving erosion; twins 18/18 byte-identical. **ROW STAYS OPEN** on the session file (§3.2) and the ledger (§2 group D).]** **[SLICE 3 LANDED 2026-08-01 (F20, §11.128; code `b4105a83` the §5.32 precondition + `59bbeaa6` the artifact): THE SESSION FILE. `session action save|load [filename <name>]` — spelling a VETO POINT (B28) — writes `~/.spacecrafter/sessions/<name>.ini` through the F13 wr
LIVE-B	B31	INTENT.md:1025	5.37	9073	a MANIFEST of every loaded system (file + reader) that a restore CHECKS and REPORTS but does not enact — the §3.3 in-session load/unload twin needs more than the manifest carries (node placement, and §5.37's suspended galactic load), so the boundary is recorded rather than forced. Carries §2 groups A, B (minus B6), C1/C5 and G1. **The finding worth carrying forward: a restore must drive the DUAL SEAM, 
LIVE-B	B31	INTENT.md:1025	5.32	9894	.py`: T2 25/25 vs a 12-field control, T2-tracked, T4 byte-identical + dump-equal at both exits, T5a + order-free, T5b exactly-one-field ×3, **T10 0.000000e+00** (the §6.1 use-site proof, unblocked by §5.32's fix), §6.3 8077 files / exactly the target. **§5.32 CLOSED** with its far-descend residual named. **ROW STAYS OPEN** on the ledger (§2 group D) — AND on two things this slice could not close: **T1*
LIVE-B	B31	INTENT.md:1025	5.32	9948	yte-identical + dump-equal at both exits, T5a + order-free, T5b exactly-one-field ×3, **T10 0.000000e+00** (the §6.1 use-site proof, unblocked by §5.32's fix), §6.3 8077 files / exactly the target. **§5.32 CLOSED** with its far-descend residual named. **ROW STAYS OPEN** on the ledger (§2 group D) — AND on two things this slice could not close: **T1** (the 3185 px photometric residual → §5.63) and the *
LIVE-B	B31	INTENT.md:1025	5.63	10137	 target. **§5.32 CLOSED** with its far-descend residual named. **ROW STAYS OPEN** on the ledger (§2 group D) — AND on two things this slice could not close: **T1** (the 3185 px photometric residual → §5.63) and the **bulk value rows E3/E4/E5**, whose READ half does not exist as an authority (only `setFlag`'s FV_TOGGLE branch knows a flag's value, and only while mutating it; the fix is one `readFlag` th
LIVE-B	B31	INTENT.md:1025	5.27	12177	erfactual read off the file). T4 byte-identical with a populated ledger (11 972 B), T5b exactly `Mars.scale`, f20_session fails ONLY T1. **THE ROW'S REMAINING OPEN SET IS NOW EXACTLY FOUR ITEMS**: T3/§5.27/**D21** · `heading`/**D28** · **C4**'s non-body catalogue key (D34's unanswered half — annotated in the file, never invented) · **§5.63** (T1's blocker; F21 spent a stated 3-wave budget on it, did no
LIVE-B	B31	INTENT.md:1025	5.63	12313	 **THE ROW'S REMAINING OPEN SET IS NOW EXACTLY FOUR ITEMS**: T3/§5.27/**D21** · `heading`/**D28** · **C4**'s non-body catalogue key (D34's unanswered half — annotated in the file, never invented) · **§5.63** (T1's blocker; F21 spent a stated 3-wave budget on it, did not attribute it, and EXTENDED the row with seven exclusions plus a correction of its own characterisation).]** **[§5.63 CLOSED 2026-08-01
LIVE-B	B31	INTENT.md:1025	5.63	12495	ver invented) · **§5.63** (T1's blocker; F21 spent a stated 3-wave budget on it, did not attribute it, and EXTENDED the row with seven exclusions plus a correction of its own characterisation).]** **[§5.63 CLOSED 2026-08-01 (F22, §11.130; code `170c3ad6`+`4d31e9d0`+`42ec495a`+`ff2c798b`): the owed readback exists and the residual is attributed — the session carried no record of the direction the OLD pa
LIVE-B	B31	INTENT.md:1025	5.63	13344	gainst a control 101.999° away. **b31-design §6.2 T1 is MET** (f20_session ALL GREEN, T1 39 px>8 / floor 51, T4 byte-identical at 10978 B). §2 row **B10** was exercised for the first time on the way (§5.63's own exclusion 6 — the gate's line was not a registered `set` name) and had the SAME defect: the offset reached the camera and not the old navigator, which is what pitches the star field; both paths
LIVE-B	B31	INTENT.md:1025	5.27	13628	he SAME defect: the offset reached the camera and not the old navigator, which is what pitches the star field; both paths now, ordered. ~~**THE ROW'S REMAINING OPEN SET IS NOW EXACTLY THREE ITEMS: T3/§5.27/D21 · `heading`/D28 · C4's non-body catalogue key.** All three are Vixy's, so B31 has no dispatchable remainder of its own.~~ **[T3 UNBLOCKED 2026-08-26 — D21 ANSWERED [vixy 2026-08-22] and propagate
LIVE-B	B31	INTENT.md:1025	5.104	14954	t `core.cpp:101` before the config block at `:618`, and the reload because **`reloadCurrentSystem` re-applies NO display scaling at all** (Moon `scaling` 5 → 1 across a reload, both binaries) ⇒ **NEW §5.104**, which is a state-preservation defect T3 was pointing at without seeing. What T3 wanted — *a restore must not move grounded content* — is now an INVARIANT with a measurement: post-fix the rover's m
LIVE-B	B31	INTENT.md:1025	5.104	15531	ghter / 0 darker px of 4 194 304). **The row's open set is now: `heading`/D28-sequencing, C4's non-body catalogue key — and, newly, whether a restore/reload should re-apply the display scales at all (§5.104, and it is a design question, not a repair).]** | §11.66, §11.55(i), §11.52(a), §11.51(d), §11.70, **§11.110**, **§11.113**, **§11.119**, **§11.129**, `b31-design.md` |
LIVE-B	B21	INTENT.md:1026	5.18	958	960000 both)** ⇒ moves exactly toward the selected body; bogus (no coef) 1.0. **COMPOSES with B10's R4 clamp**: holds 6012.0004 km, reversible ×2 (escape 6065.5/6061.0), enter→0.0000; ascend floored (§5.18 restored on live geometry). Sign-corrected multAlt's inverted/untested free-mode step. No regression (scene E 26/26, P4 4–50 km, orient 17/48, P-d 0.0000, config md5 in==out). Closes the §11.36 "Eart
LIVE-B	B24	INTENT.md:1027	5.23	1555	aught); **composition scene green** (b24_compose.py: rover-on-Moon/Earth grounded + controls + ascending rocket, authored via the real adoption workflow; grounded fold FIXED to parent spin en route — §5.23; `surface_point` provider + ascent ramp landed). **Remaining in-row**: ~~screen-layer grounded scene (drawn rover + its shadow — H4(b)/B3's observable)~~ **DELIVERED 2026-07-24 (§11.97): shadow achie
LIVE-B	B24	INTENT.md:1027	5.23	3282	n points recorded §11.90(f)**; ~~spelling sign-offs §11.78(e)~~ **ANSWERED [vixy 2026-07-23, §11.79(j)(k)(m)]: D16 respell `type=` (parser+emitter+harness edits in-row); grounded fold RATIFIED (D17 → §5.23); `surface_point` keys RATIFIED (D19)**; INSTANCED hint parse lands with its consumer (row 5/S4). **[SELECT-INSIDE-THE-PARENT'S-DISC ANSWERED 2026-07-26, D26 → §11.113(e) (A37 closed): the visible co
LIVE-B	B24	INTENT.md:1027	5.23	5208	solated; same-binary A/A 0 px>8. **A17 residual (i) untouched** — R5 over the OLD candidate set still waits for the old picker to retire.]** | §11.50(b), §6.7, §11.51(a)(b)(e), §11.52(c), **§11.78**, §5.23, **§11.113** |
LIVE-B	B33	INTENT.md:1029	5.41	3263	ne unblocked by D28; and `configuration action save` still persists `navigation->getHeading()` directly (`core.cpp`), which is the same class but a PERSISTENCE semantic and therefore B31's slice with §5.41/§5.42. Note: in `ALTERNATE` render-path mode the readout follows the toggle, which is the literal meaning of *the path that draws*.]** **[CLASS CLOSED 2026-08-01 (F23, §11.131; code `93d83ebd` the in
LIVE-B	B33	INTENT.md:1029	5.42	3269	locked by D28; and `configuration action save` still persists `navigation->getHeading()` directly (`core.cpp`), which is the same class but a PERSISTENCE semantic and therefore B31's slice with §5.41/§5.42. Note: in `ALTERNATE` render-path mode the readout follows the toggle, which is the literal meaning of *the path that draws*.]** **[CLASS CLOSED 2026-08-01 (F23, §11.131; code `93d83ebd` the instrume
LIVE-B	B33	INTENT.md:1029	5.68	6041	 (`position save`/`position load`) read the old observer directly AND restore into it alone, so the read could not be folded without the dual seam → **B34**. Write-half asymmetry found on the way → **§5.68**.]** | **§11.108(f)**, §11.102(b2), A38, **§11.113**, **§11.131** |
LIVE-B	B34	INTENT.md:1030	5.68	5860	8 from where the move left it); both entries of the pair; the **4.353871 m** round-trip loss is **4.000000 float32 ulps** of the camera's AU distance (1 ulp = 1.0884678 m), identical on both entries; §5.68's asymmetry measured and stated, not fixed. NEW **§5.69** (`keep_time` truncated to 8 bits).]** **[MEMBER ADDED 2026-08-01 (F23, §11.131(f)(j)): `position save` / `position load` — `CoreBackup::saveB
LIVE-B	B34	INTENT.md:1030	5.69	5916	; the **4.353871 m** round-trip loss is **4.000000 float32 ulps** of the camera's AU distance (1 ulp = 1.0884678 m), identical on both entries; §5.68's asymmetry measured and stated, not fixed. NEW **§5.69** (`keep_time` truncated to 8 bits).]** **[MEMBER ADDED 2026-08-01 (F23, §11.131(f)(j)): `position save` / `position load` — `CoreBackup::saveBackup` reads `core->observatory->getLatitude/getLongitud
LIVE-B	B34	INTENT.md:1030	5.66	10147	NE RESIDUE IS NOT ITS OWN: `Core::panView`** (`look_at delta_azimuth/delta_altitude`, the ramp's command twin) is still old-only — one line, `Camera::lookRel(dAlt, dAz, duration)`, but it sits behind §5.66/§11.92(d)'s `look_at` family AND its duration branch is old's atan-eased auto_move against the camera's constant-min-acceleration law, i.e. perceptual parity, not exact ⇒ **§5.71**. NEW **§5.70** (th
LIVE-B	B34	INTENT.md:1030	5.71	10326	, but it sits behind §5.66/§11.92(d)'s `look_at` family AND its duration branch is old's atan-eased auto_move against the camera's constant-min-acceleration law, i.e. perceptual parity, not exact ⇒ **§5.71**. NEW **§5.70** (the recorded turn action `look delta_az …` names an unregistered command AND unregistered keys, so a recorded show cannot replay it; its zoom sibling `zoom delta_fov` is correct on 
LIVE-B	B34	INTENT.md:1030	5.70	10341	ehind §5.66/§11.92(d)'s `look_at` family AND its duration branch is old's atan-eased auto_move against the camera's constant-min-acceleration law, i.e. perceptual parity, not exact ⇒ **§5.71**. NEW **§5.70** (the recorded turn action `look delta_az …` names an unregistered command AND unregistered keys, so a recorded show cannot replay it; its zoom sibling `zoom delta_fov` is correct on both counts and
LIVE-B	B35	INTENT.md:1031	5.89	3057	 **(iii)** this is NOT authority to retire the config value or change the old path (D9/D13, §11.52(b)). The row therefore keeps its item and loses one of its reasons. Sibling annotated identically: **§5.89** (the unknown-`viewing_mode` dead guard) — the answer names EQUATORIAL as the only defensible named-default fallback but decides none of that row's fork.]** | **§11.108(f)**, §2(c), §11.102(e3), **§
LIVE-B	B38	INTENT.md:1034	5.36	723	e APP_MODE: break;` (`:1801`, parses, reports success, does nothing); **`media subtitle toggle` tests the wrong variable** (`:3329` vs the correct sibling `:3178`) so `toggle` turns subtitles OFF → **§5.36**; `flag a on b on` applies only the alphabetically first pair (`:1122-1140`, `std::map`; same on `define`/`add`/`sub`/`multiply`/`divide`/`modulo`/`tangent`/`trunc`/`sinus`); `comment`/`uncomment` a
LIVE-B	B38	INTENT.md:1034	5.36	3472	 decision**, which is the definition of that map's own T1.6 script-semantics batch ⇒ **T5.3 RESOLVES INTO T1.6**, and being both-paths it does not gate the T0 transparency claim.]** | **§11.108(k)**, §5.36, §2(f), capability-surface.md §3.8, §11.163 |
LIVE-B	B27	INTENT.md:1035	5.5	950	ON → RETIRE (0 consumers); A4 `CASE("Moon",CUSTOM)` dead → delete; A5 Sun day-length → `isStar()`; A6 moonClass, A7 trail_length, A8/A9 G6 heuristics. Tier B (`type`→STAR/MINOR) reproduced by `type`, §5.5. **Exemption re-verified**: `*_special` orbits (earth orbit.cpp:794, lunar/emb protosystem.cpp:569/557, sun ssystem_factory.cpp:363 [seed :344 drifted], stellar :107). R10 map [§11.73(h)]: Earth=A1+A
LIVE-B	B27	INTENT.md:1035	5.5	6916	mary` compared and shown able to fail via the new `--strip Sun:primary`. **REMAINS**: (2) A8/A9 under `compose = deduced` and (3) `type = BODY` on every composed node, both unchanged.]** | §11.51(c), §5.5, §11.48(b), §11.70, **§11.73**, §11.91, **§11.107**, **§11.113** |
LIVE-B	B39	INTENT.md:1036	5.31	624	ECORDING + tail + body draw (hints/labels, axis, grid, halo, depth trace = occlusion) + shadow cast + shadow receive + self-shadow nomination + click-pick all stop as a side effect of nesting (I6). **§5.31 CLOSED on its own discriminator (779 px → 0, control 779 px).** DECLARED (`relation`) vs EFFECTIVE (`renderHidden`) split, one writer for the flag AND the membership, each node ORing its own relation
LIVE-B	B39	INTENT.md:1036	5.44	832	OSED on its own discriminator (779 px → 0, control 779 px).** DECLARED (`relation`) vs EFFECTIVE (`renderHidden`) split, one writer for the flag AND the membership, each node ORing its own relation ⇒ §5.44 impossible here; nested-hidden pointer 137 px → 0 with the child's declared flag untouched. **Tick retired and MEASURED (2074 → 0 evaluations over ~2070 frames)** into the §11.76 barrier (+4 iteratio
LIVE-B	B39	INTENT.md:1036	5.46	1158	(2074 → 0 evaluations over ~2070 frames)** into the §11.76 barrier (+4 iterations, `RESUME_EXTRA_ITERATIONS` one authority), `publishParkedFrame` keeping the parent frame the up-chain never caches (→ §5.46); use channels enumerated: unhide · reference switch · light source · selection · dump. "No tick" is bounded by the reference chain, which IS §11.113(b)(vi) (Sun parked with Earth as reference ⇒ +149
LIVE-B	B39	INTENT.md:1036	5.46	2297	attery green; md5 pristine. Residue: **D37** (~~a hidden STAR still illuminates — measured, Vixy's call~~ — **the MEASUREMENT'S READING IS REFUTED, see the 2026-08-26 block at the end of this row**), §5.46, and the pre-existing reload loss of 2 hidden bodies. ORIGINAL SPEC: four obligations, one semantic: **(1) no annotation of a hidden body reaches the frame** — orbit line (§5.31's gate, the trigger),
LIVE-B	B39	INTENT.md:1036	5.31	2475	e end of this row**), §5.46, and the pre-existing reload loss of 2 hidden bodies. ORIGINAL SPEC: four obligations, one semantic: **(1) no annotation of a hidden body reaches the frame** — orbit line (§5.31's gate, the trigger), trail DRAW, hints/labels, axis, planet grid, selection pointer, shadow cast/receive, occlusion, click-pick; **(2) hidden bodies do not TICK — and do not RECORD**: B19's translat
LIVE-B	B39	INTENT.md:1036	5.44	3690	 exposed flag stays the declared value** — the new path already satisfies this by construction (`ModularBody.cpp:445-481` parks the node with ownership and relation intact); the OLD path violates it (§5.44) so do not port old's shape. **Boundary, corpus-forced, not negotiable**: hidden removes the body from the RENDERED universe only — `S10.sts:17-18` uses a `hidden = true` body as `home_planet` AND se
LIVE-B	B39	INTENT.md:1036	5.99	5474	the pair pixel-identical. The attribution *"the Sun's own disc and halo leaving the frame"* is impossible: the Sun's dump record reads **`visible: false` in BOTH** frames. Cause of the misreading → **§5.99** (`b39_star.py`'s `lit()` counts the whole 2048² frame, star-field-dominated: 15 462 px background vs ~1 850 px Moon ⇒ total disappearance moves it 11 %). **The counts 15 462 / 17 302 / 1217 reprodu
LIVE-B	B39	INTENT.md:1036	5.31	7159	n (1) as a **source** fact: `ModularSystem::updateSystem` calls `getSystemStar()->updateAsLightSource()` unconditionally (`ModularSystem.cpp:239-252`), reversal still one branch.]** | **§11.113(b)**, §5.31, §5.44, §11.54, §11.56, §11.76, §11.93, **§11.149** |
LIVE-B	B39	INTENT.md:1036	5.44	7166	s a **source** fact: `ModularSystem::updateSystem` calls `getSystemStar()->updateAsLightSource()` unconditionally (`ModularSystem.cpp:239-252`), reversal still one branch.]** | **§11.113(b)**, §5.31, §5.44, §11.54, §11.56, §11.76, §11.93, **§11.149** |
